City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
115,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
117,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
121,Airai,TL,74.62,overcast clouds,-8.9266,125.4092,Juvinal Martin
127,Arauca,CO,76.96,clear sky,7.0847,-70.7591,Hotel Verano Plaza
128,Marsh Harbour,BS,77.04,clear sky,26.5412,-77.0636,Abaco Beach Resort
129,Atuona,PF,79.11,clear sky,-9.8,-139.0333,Villa Enata
133,Sulangan,PH,81.05,light rain,11.1373,123.7228,Maia's Beach Resort
134,Mahebourg,MU,78.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
137,Mittagong,AU,72.0,moderate rain,-34.45,150.45,Mittagong Motel
141,Souillac,MU,78.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
143,Arraial Do Cabo,BR,72.64,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
144,Takoradi,GH,79.5,broken clouds,4.8845,-1.7554,Raybow International Hotel
149,Maragogi,BR,78.22,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
151,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
158,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
163,Kavieng,PG,81.93,moderate rain,-2.5744,150.7967,Nusa Island Retreat
166,Wad Madani,SD,74.57,clear sky,14.4012,33.5199,فندق يوغسلافيا
175,Payo,ID,83.44,light rain,-3.7508,103.6372,Mess keban agung
177,Cabo San Lucas,MX,76.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
180,Yaan,NG,75.72,overcast clouds,7.3833,8.5667,
181,Porangatu,BR,71.38,light rain,-13.4408,-49.1486,Wembley Park Hotel
182,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
187,Achutupo,PA,79.5,overcast clouds,9.2,-77.9833,Akwa Reef Lodge
194,Vanimo,PG,83.89,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
198,Pontes E Lacerda,BR,74.21,overcast clouds,-15.2261,-59.3353,Hotel Bressan
199,Aracuai,BR,71.08,overcast clouds,-16.8497,-42.0703,Village das Minas Hotel
200,Chabahar,IR,70.27,clear sky,25.2919,60.643,هتل گدروشیا
204,Labuhan,ID,82.81,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
206,Champerico,GT,82.35,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
213,Thinadhoo,MV,81.63,broken clouds,0.5333,72.9333,
215,Lingao,CN,71.64,clear sky,19.9103,109.6859,Lingao Ditai Inn
216,Alofi,NU,76.89,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
231,Biak,ID,83.48,light rain,-0.9131,122.8766,Penginapan Kim
236,Mogadishu,SO,78.44,scattered clouds,2.0371,45.3438,Hotel Juba
237,Presidencia Roque Saenz Pena,AR,74.37,broken clouds,-26.7852,-60.4388,Hotel Aconcagua
238,Miri,MY,82.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
240,Sao Joao Da Barra,BR,70.3,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
241,Niquero,CU,77.29,clear sky,20.0431,-77.5828,Islazul Niquero
252,Simiti,CO,77.61,scattered clouds,7.9579,-73.9436,Cancha la original
253,Acapulco,MX,82.22,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
256,Ilhabela,BR,70.79,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
259,Urubicha,BO,73.51,broken clouds,-15.3833,-62.95,
260,Celestun,MX,77.54,scattered clouds,20.8667,-90.4,Posada Lilia
262,Moussoro,TD,71.44,few clouds,13.6408,16.4901,Hôtel Salama
267,Harper,LR,78.37,light rain,4.375,-7.7169,Screensaver
268,Tezu,IN,70.54,broken clouds,27.9167,96.1667,Circuit House
271,Bodden Town,KY,80.6,clear sky,19.2833,-81.25,Will T Place
275,Nabagram,IN,73.38,scattered clouds,22.2881,88.5092,NASKAR HOUSE .NABAGRAM FULTALA
279,Jizan,SA,76.14,clear sky,17.3333,42.6667,شهدان. ابوالحجر
286,Arawa,PG,83.21,moderate rain,-6.2132,155.5367,Coastline Guest House
288,Mananara,MG,74.66,broken clouds,-16.1667,49.7667,Chez Roger
291,Twante,MM,75.33,scattered clouds,16.7167,95.9333,Dream Land
292,Arboletes,CO,78.78,overcast clouds,8.8505,-76.4269,Hotel Playa Star
294,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
295,Kapaa,US,71.92,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
299,Koumac,NC,83.97,scattered clouds,-20.5667,164.2833,Le Monitel
302,Hermosillo,MX,73.85,clear sky,29.0667,-110.9667,ibis Hermosillo
307,Mitsamiouli,KM,81.19,scattered clouds,-11.3847,43.2844,Foyer ADM
309,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
311,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
314,Iracoubo,GF,77.22,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
315,Manicore,BR,73.42,moderate rain,-5.8092,-61.3003,Hotel Durval
322,Ambulu,ID,80.04,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
324,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
328,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
333,Inhambane,MZ,75.78,few clouds,-23.865,35.3833,Oceano
336,Hervey Bay,AU,84.31,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
338,Zaraza,VE,73.13,scattered clouds,9.3503,-65.3245,Hotel Zaraza
339,Gurupa,BR,75.11,overcast clouds,-1.405,-51.64,Hotel Vitória
340,Itaueira,BR,76.53,scattered clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
345,Fare,PF,79.9,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
347,Sinnamary,GF,77.5,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
348,Victoria,HK,72.25,clear sky,22.2855,114.1577,Mini Hotel Central
350,Aripuana,BR,73.22,overcast clouds,-9.1667,-60.6333,
351,Padang,ID,84.79,light rain,-0.9492,100.3543,Mercure Padang
352,Vila Velha,BR,71.94,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
362,Limon,CR,77.54,scattered clouds,10.0,-83.0333,Hotel Playa Bonita
363,Waw,SS,75.67,few clouds,7.7029,27.9953,Universal Gab Hotel
366,Kieta,PG,83.52,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
367,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
369,Road Town,VG,80.01,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
370,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
371,Ahuimanu,US,74.91,heavy intensity rain,21.4447,-157.8378,Paradise Bay Resort
376,Mbandaka,CD,70.21,light rain,0.0487,18.2603,Guest House Epervier
378,Neuquen,AR,80.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
386,Bengkulu,ID,82.69,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
387,Palmas,BR,76.87,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
393,Soe,ID,81.25,overcast clouds,-9.8607,124.284,Dena Hotel
396,Faanui,PF,80.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
397,Abonnema,NG,77.79,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
399,Bac Lieu,VN,80.19,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
400,Sao Felix Do Xingu,BR,73.35,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
411,Entre Rios,BR,70.66,few clouds,-11.9419,-38.0844,Jambalaya Pousada
414,Porto Belo,BR,71.55,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
418,Japura,ID,80.22,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
419,Quebo,GW,72.3,few clouds,11.3333,-14.9333,
423,Sur,OM,71.37,clear sky,22.5667,59.5289,Sur Plaza Hotel
425,Rafaela,AR,73.06,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
428,Bacolod,PH,80.42,overcast clouds,10.6667,122.95,Planta Hotel & Residences
430,Namibe,AO,71.44,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
436,Galle,LK,79.54,broken clouds,6.0367,80.217,Amangalla
440,Richards Bay,ZA,72.19,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
441,Luangwa,ZM,77.83,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
446,Kismayo,SO,79.12,scattered clouds,-0.3582,42.5454,Agan-Hotel
447,Ayotzintepec,MX,73.38,few clouds,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
457,Labrea,BR,73.24,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
464,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
465,Codo,BR,74.37,broken clouds,-4.4553,-43.8856,Hotel Porto do Sol
467,Shenzhen,CN,72.14,clear sky,22.5455,114.0683,Shenzhen Shanghai Hotel
475,Davila,PH,84.18,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
478,Malakal,SS,75.13,few clouds,9.5334,31.6605,Nile Palace Hotel
482,Kathu,TH,80.42,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
485,Sobradinho,BR,70.66,overcast clouds,-12.8333,-39.1,Pousada Pau Brasil
486,Punta Cardon,VE,79.43,clear sky,11.6581,-70.215,Bambuda hotel
487,Ondo,NG,73.2,broken clouds,7.1,4.8333,Leisure Spring Hotel
489,Payakumbuh,ID,79.65,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
491,Simbahan,PH,82.67,overcast clouds,6.3032,120.5836,
493,Beloha,MG,75.97,clear sky,-25.1667,45.05,
496,Booue,GA,72.37,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
497,Tual,ID,83.35,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
498,Batangafo,CF,75.18,overcast clouds,7.3008,18.2833,OCHA Office
502,Betare Oya,CM,73.31,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
504,Poum,NC,82.63,clear sky,-20.2333,164.0167,Gîte kajeon
505,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
508,Gondanglegi,ID,80.35,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
510,Oliveira Dos Brejinhos,BR,72.68,overcast clouds,-12.3169,-42.8961,Hotel Paraiso
511,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
512,Kariba,ZW,77.52,broken clouds,-16.5167,28.8,Caribbea Bay Hotel
513,Boulsa,BF,72.95,broken clouds,12.6675,-0.5758,Auberge Relwende
516,Alice Springs,AU,83.75,few clouds,-23.7,133.8833,Desert Palms Alice Springs
517,San Rafael,AR,76.01,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
518,Vao,NC,79.02,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
522,Tutoia,BR,81.14,broken clouds,-2.7619,-42.2744,Pousada Guará's
523,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
524,Madhipura,IN,73.38,clear sky,25.9167,86.7833,SPOT ON 64083 Hotel Ganga
526,Monte Alegre,BR,78.87,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
528,Binga,ZW,73.35,broken clouds,-17.6203,27.3414,Lakeview Inn Binga
535,Mazagao,BR,78.85,light rain,-0.115,-51.2894,Recanto dos Ferreiras
538,Nishihara,JP,72.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
540,Sassandra,CI,77.83,clear sky,4.95,-6.0833,la terrasse
